processo,cd_acordao,classe,assunto,relator,comarca,orgao_julgador,camara,data_julgamento,data_publicacao,regime_inicial,pena_anos,houve_reincidencia,houve_confissao,eh_trafico,n_palavras_ementa,ementa
1510097-90.2025.8.26.0395,20818524,Apelação Criminal,Tráfico de Drogas e Condutas Afins,Fernando Simão,Urupês,7ª Câmara de Direito Criminal,7,07/08/2026,07/08/2026,fechado,6.5,False,False,True,433,"DIREITO PENAL. APELAÇÃO. TRÁFICO DE DROGAS. DOSIMETRIA. DESCABIMENTO DO REDUTOR DO ART. 33, § 4º, DA LEI DE DROGAS. REDUÇÃO DA PENA-BASE AO MÍNIMO LEGAL. REGIME FECHADO MANTIDO. PARCIAL PROVIMENTO DO RECURSO.
I. Caso em Exame
1. Apelação interposta pela defesa contra sentença que condenou o réu pela prática do crime do art. 33, caput, da Lei 11.343/06, à pena de 6 anos e 6 meses de reclusão, em regime inicial fechado, e 650 dias-multa. A defesa não impugna a condenação, pleiteando a incidência do redutor do § 4º do art. 33, a substituição por penas restritivas de direitos ou, subsidiariamente, a fixação de regime mais brando.

II. Questão em Discussão 
2. A questão em discussão consiste em saber se: (i) é cabível a aplicação da causa de diminuição do art. 33, § 4º, da Lei 11.343/06; (ii) a pena-base foi corretamente fixada; e (iii) é possível o abrandamento do regime inicial de cumprimento da pena.

III. Razões de Decidir 
3. Materialidade e autoria devidamente comprovadas por laudos periciais e prova oral. Defesa não controverte a condenação. 
4. Pena-base reduzida ao mínimo legal. As circunstâncias relativas à quantidade, natureza e variedade das drogas devem ser consideradas na terceira fase, sob pena de bis in idem. 
5. Inaplicabilidade do redutor do art. 33, § 4º, da Lei de Drogas. Conjunto probatório demonstra dedicação do réu à atividade criminosa, evidenciada pela variedade de entorpecentes, forma de acondicionamento, apreensão de numerário e dinâmica da abordagem. 
6. Regime inicial fechado mantido. Circunstâncias concretas do caso, especialmente a diversidade de drogas e indícios de mercancia habitual, justificam maior rigor na execução da pena. 
7. Ajuste da pena definitiva para 5 anos de reclusão e 500 dias-multa, mantidos os demais termos da sentença.

IV. DISPOSITIVO E TESE 
8. Recurso parcialmente provido.

Tese de julgamento: 1. A quantidade e a natureza da droga devem ser valoradas preferencialmente na terceira fase da dosimetria, para definição da fração do redutor do art. 33, § 4º, evitando-se bis in idem; 2. A causa de diminuição do tráfico privilegiado exige prova de que o agente não se dedica a atividades criminosas, podendo ser afastada por elementos concretos indicativos de habitualidade; 3. As circunstâncias do caso podem justificar a fixação do regime inicial fechado, mesmo com pena reduzida ao mínimo legal.

Dispositivos citados: Lei 11.343/06, arts. 33, caput e § 4º, e 42; CP, art. 59; CPP, art. 312.

Jurisprudência citada: STJ, AgRg no REsp 1302590/RS, Rel. Min. Maria Thereza de Assis Moura, Sexta Turma, j. 11.03.2014, DJe 28.03.2014; STF, HC nº 72.567-8/RS, Rel. Min. Carlos Veloso; TJSP, Apelação nº 990.09.042255-6, Rel. Des. Paulo Rossi."
1508727-85.2025.8.26.0392,20818523,Apelação Criminal,Tráfico de Drogas e Condutas Afins,Fernando Simão,Agudos,7ª Câmara de Direito Criminal,7,07/08/2026,07/08/2026,,8.166666666666666,False,False,True,289,"DIREITO PENAL. APELAÇÃO CRIMINAL . TRÁFICO DE DROGAS E FALSA IDENTIDADE. RECURSO PARCIALMENTE PROVIDO.

I. Caso em Exame
1. Réu condenado por tráfico de drogas e falsa identidade, com pena inicial de 08 anos e 02 meses de reclusão e 04 meses e 02 dias de detenção. Apelação busca absolvição por insuficiência probatória, desclassificação do delito, afastamento de causa de aumento, redução de pena e abrandamento do regime prisional.

II. Questão em Discussão
2. A questão em discussão consiste em (i) a suficiência das provas para condenação por tráfico de drogas e falsa identidade, (ii) a possibilidade de desclassificação do delito para uso pessoal, e (iii) a adequação da dosimetria da pena aplicada.

III. Razões de Decidir
3. A materialidade e autoria do tráfico de drogas foram comprovadas por boletim de ocorrência, auto de apreensão e laudos periciais.
4. A falsa identidade foi caracterizada pela apresentação de nome falso à autoridade policial, não configurando exercício de autodefesa.

IV. Dispositivo e Tese
5. Recurso parcialmente provido para reduzir a pena do tráfico de drogas para 07 anos, 11 meses e 08 dias de reclusão, mantendo-se a condenação por falsa identidade e os regimes prisionais estabelecidos.
Tese de julgamento: 1. A materialidade e autoria do tráfico de drogas e falsa identidade foram comprovadas. 2. A redução da pena do tráfico de drogas é justificada pela quantidade não elevada de entorpecentes apreendidos.

Legislação Citada:
Lei nº 11.343/06, art. 33, caput, art. 40, inciso VI; Código Penal, art. 307, art. 69, caput; Código de Processo Penal, art. 312.

Jurisprudência Citada:
STF, H.C. nº 72.567-8/RS, Rel. Min. Carlos Veloso; TJSP, AP. nº 990.09.042255-6, Rel. Des. Paulo Rossi; STJ, AgRg no AgRg no HC n. 698.509/SP, Rel. Min. Messod Azulay Neto, Quinta Turma, j. 30.05.2023."
1500537-64.2022.8.26.0546,20818520,Apelação Criminal,Receptação,Fernando Simão,Itapira,7ª Câmara de Direito Criminal,7,07/08/2026,07/08/2026,aberto,1.0,False,False,False,202,"DIREITO PENAL. APELAÇÃO CRIMINAL . RECEPTAÇÃO. RECURSO DESPROVIDO.

I. Caso em Exame
1. Réu condenado por receptação, art. 180, caput, do Código Penal, à pena de 1 ano de reclusão em regime aberto, substituída por prestação de serviços à comunidade. Apelação busca absolvição por insuficiência probatória ou desclassificação para receptação culposa.

II. Questão em Discussão
2. A questão em discussão consiste em (i) se há insuficiência probatória para a condenação por receptação dolosa e (ii) se é possível a desclassificação para receptação culposa.

III. Razões de Decidir
3. Materialidade e autoria comprovadas por boletins de ocorrência, laudo pericial e prova oral.
4. Prova oral incriminadora, com testemunhas confirmando a posse do veículo furtado pelo réu, sem documentação comprobatória de aquisição lícita.

IV. Dispositivo e Tese
5. Recurso desprovido.
Tese de julgamento: 1. A prova do dolo na receptação pode ser inferida das circunstâncias do caso. 2. A posse de bem furtado inverte o ônus da prova, cabendo ao réu demonstrar a licitude da aquisição.

Legislação Citada:
Código Penal, art. 180, caput; art. 33, § 2º, alínea c.

Jurisprudência Citada:
STJ, HC nº 74.608-0/SP, Rel. Min. Celso de Mello.
TJSP, Apelação nº 0783841-52.2009.8.26.0577, Rel. Paulo Rossi, 2ª Câmara de Direito Criminal, j. 31.01.2011."
1501325-46.2023.8.26.0028,20818519,Apelação Criminal,Violência Psicológica contra a Mulher,Fernando Simão,Aparecida,7ª Câmara de Direito Criminal,7,07/08/2026,07/08/2026,aberto,,False,False,False,202,"DIREITO PENAL. APELAÇÃO CRIMINAL . VIOLÊNCIA DOMÉSTICA. RECURSO DESPROVIDO.

I. Caso em Exame
1. Réu condenado por violência doméstica, com base no art. 147-B do Código Penal e Lei nº 11.340/06, a um ano de reclusão em regime aberto e 20 dias-multa. Apela buscando absolvição por insuficiência probatória ou redução da pena.

II. Questão em Discussão
2. A questão em discussão consiste em (i) se há insuficiência probatória para a condenação e (ii) se a pena imposta deve ser reduzida.

III. Razões de Decidir
3. A materialidade e autoria do delito estão comprovadas por boletim de ocorrência, relatório final e prova oral incriminadora.
4. A palavra da vítima, corroborada por testemunha, é suficiente para a condenação em crimes de violência doméstica, não havendo motivos para considerar falsa a imputação.

IV. Dispositivo e Tese
5. Recurso desprovido.
Tese de julgamento: 1. A palavra da vítima, corroborada por testemunha, é suficiente para a condenação em crimes de violência doméstica. 2. A pena foi corretamente dosada e justificada, não cabendo redução.

Legislação Citada:
Código Penal, art. 147-B; Lei nº 11.340/06; Código Penal, art. 33, §§ 2º, alínea c; Código Penal, art. 77.

Jurisprudência Citada:
TJMG, Apelação Criminal nº 0076670-55.2007.8.13.0177, Rel. Des. Pedro Vergara, j. 15.12.2009."
1508424-16.2025.8.26.0378,20818518,Apelação Criminal,Tráfico de Drogas e Condutas Afins,Fernando Simão,Itapeva,7ª Câmara de Direito Criminal,7,07/08/2026,07/08/2026,fechado,6.75,True,True,True,280,"DIREITO PENAL. APELAÇÃO. TRÁFICO DE DROGAS. RECURSO PARCIALMENTE PROVIDO.

I. Caso em Exame
1. O réu Andrey Carvalho Camporezi Lopes foi condenado por tráfico de drogas, com pena de 6 anos, 9 meses e 20 dias de reclusão, em regime fechado, e 680 dias-multa. O réu apelou, buscando absolvição por insuficiência de provas ou desclassificação para uso pessoal, além de ajustes na dosimetria da pena.

II. Questão em Discussão
2. A questão em discussão consiste em: (i) a suficiência das provas para condenação por tráfico de drogas; (ii) a possibilidade de desclassificação para uso pessoal; (iii) a adequação da dosimetria da pena aplicada.

III. Razões de Decidir
3. A materialidade e autoria do crime foram comprovadas por boletim de ocorrência, laudos e depoimentos de guardas civis.
4. A dosimetria da pena foi ajustada, considerando a quantidade de droga apreendida e a reincidência específica, com compensação parcial pela confissão espontânea.

IV. Dispositivo e Tese
5. Recurso parcialmente provido para reduzir a pena para 5 anos, 4 meses e 5 dias de reclusão, mantendo o regime fechado.
Tese de julgamento: 1. A condenação por tráfico de drogas foi mantida com ajuste na dosimetria da pena. 2. A reincidência específica justifica o regime inicial fechado.

Legislação Citada:
Lei nº 11.343/06, art. 33, caput; art. 28; art. 33, § 4º
Código Penal, art. 33, § 2º, alínea b; art. 312
Lei nº 8.072/90, § 1º do art. 2º

Jurisprudência Citada:
STF, H.C. nº 74.608-0/SP, Rel. Min. Celso de Mello
TJSP, RJTJSP 101/498
TJSP, AC 20.239, Rel. Geraldo Gomes, RT 584/347
TJSP, Apelação Criminal nº 212.768-3, Rel. David Haddad
STF, H.C. nº 72.567-8/RS, Rel. Min. Carlos Veloso
TJSP, AP. nº 990.09.042255-6, Rel. Des. Paulo Rossi."
1506195-34.2024.8.26.0050,20818515,Apelação Criminal,Roubo Majorado,Fernando Simão,São Paulo,7ª Câmara de Direito Criminal,7,07/08/2026,07/08/2026,semiaberto,5.333333333333333,False,False,False,335,"DIREITO PENAL. APELAÇÃO. ROUBO QUALIFICADO PELO CONCURSO DE AGENTES. PROVA SUFICIENTE. DESCLASSIFICAÇÃO E ABRANDAMENTO DO REGIME INVIÁVEIS. RECURSO DESPROVIDO.
I. Caso em Exame
Réu condenado por roubo qualificado, à pena de 5 anos e 4 meses de reclusão, em regime inicial semiaberto, e 13 dias-multa. A defesa recorreu e pleiteou a desclassificação para furto por ausência de violência ou grave ameaça e, subsidiariamente, a fixação de regime mais brando.

II. Questão em Discussão 
2. A questão em discussão consiste em saber se (i) é cabível a desclassificação para furto; e (ii) é possível o abrandamento do regime inicial de cumprimento de pena.

III. Razões de Decidir 
3. Materialidade e autoria comprovadas por boletim de ocorrência, autos de reconhecimento, apreensão de bem subtraído e prova oral produzida sob contraditório.
4. Declarações das vítimas foram firmes e coerentes, corroboradas por elementos investigativos e pelo reconhecimento do acusado, inclusive com recuperação da res furtiva em sua posse.
5. Afastada a desclassificação para furto. Violência e grave ameaça caracterizadas pelo contato físico consistente em puxão pela vestimenta da vítima, aliado à simulação de porte de arma, circunstâncias suficientes para reduzir sua resistência.
6. Concurso de agentes demonstrado pela atuação conjunta com comparsa, justificando a qualificadora.
7. Dosimetria correta. Pena-base no mínimo legal. Atenuante da menoridade reconhecida, sem redução aquém do mínimo (Súmula 231 do STJ). Majoração de 1/3 adequada, dada a comparsaria.
8. Regime semiaberto compatível com o quantum da pena, quedando-se inerte o órgão ministerial.

IV. Dispositivo e Tese 
9. Recurso desprovido.

Teses de julgamento: 1. A palavra firme da vítima, confirmada por outros elementos, é apta a sustentar condenação por roubo; 2. A simulação de arma e o emprego de violência física configuram grave ameaça suficiente para caracterizar o roubo; 3. O reconhecimento do agente e a posse do bem subtraído reforçam a autoria.

Dispositivos citados: CP, arts. 157, §2º, II; 33, §2º, ""b"".

Jurisprudência citada: STF, HC 74.608/SP, Rel. Min. Celso de Mello; TJSP, Ap. nº 990080935682/SP, Rel. Des. Paulo Rossi, 12ª Câmara Criminal, j. 09.09.2009."
1503822-59.2025.8.26.0320,20818514,Apelação Criminal,Roubo,Fernando Simão,Limeira,7ª Câmara de Direito Criminal,7,07/08/2026,07/08/2026,fechado,2.3333333333333335,True,False,False,440,"DIREITO PENAL. APELAÇÃO. ROUBO IMPRÓPRIO TENTADO. MANUTENÇÃO DA CONDENAÇÃO E DA DOSIMETRIA. RECURSO DESPROVIDO.
I. Caso em Exame
Réu condenado por roubo impróprio tentado, à pena de 2 anos e 4 meses de reclusão, em regime inicial fechado, e 5 dias-multa, negado o direito de recorrer em liberdade. A defesa apelou, pleiteando desclassificação para furto tentado, e, subsidiariamente, abrandamento da pena e do regime, além da detração.

II. Questão em Discussão 
2. Questões em discussão: (i) saber se é cabível a desclassificação para furto tentado; (ii) se subsiste a agravante do art. 61, II, ""h"", do CP; (iii) se a fração de redução pela tentativa e o regime prisional devem ser alterados; e (iv) se a detração pode ser aplicada.

III. Razões de Decidir 
3. Provas suficientes de materialidade e autoria. Declarações firmes da vítima, corroboradas por policiais, demonstram que o réu ingressou na residência e empregou violência física para assegurar a subtração e a fuga.
4. Configuração de roubo impróprio. A violência empregada após o início da subtração, para garantir a impunidade, atende ao vínculo finalístico do art. 157, § 1º, CP.
5. Tese defensiva isolada. Versão do réu é inverossímil e sem respaldo probatório.
6. Agravante mantida. Vítima idosa e vulnerável, condição conhecida pelo réu, o que afasta alegação de responsabilidade penal objetiva.
7. Dosimetria adequada. Pena-base no mínimo legal, com agravamento pela reincidência e pela idade da vítima. Redução pela tentativa fixada em 1/2, pois o iter criminis foi relevante e se aproximou da consumação.
8. Regime inicial fechado mantido. Gravidade concreta do delito e reincidência justificam regime mais gravoso.
9. Detração deve ser apreciada pelo Juízo da Execução, diante da ausência de elementos suficientes nos autos e da competência prevista na LEP.

IV. DISPOSITIVO E TESE 
10. Recurso desprovido.

Teses de julgamento: 1. A violência empregada após o início da subtração, para assegurar a fuga ou a impunidade, configura roubo impróprio. 2. A palavra da vítima, em harmonia com demais provas, é suficiente para sustentar a condenação em crimes patrimoniais. 3. A agravante da vítima idosa incide quando a condição de vulnerabilidade é perceptível e conhecida pelo agente. 4. A fração de redução pela tentativa deve observar o iter criminis percorrido. 5. A detração penal, na ausência de dados suficientes, deve ser analisada pelo Juízo da Execução.

Dispositivos citados: CP, arts. 14, II; 61, II, ""h""; 157, § 1º; CPP, art. 156; LEP, art. 66, III, ""c"".

Jurisprudência citada: STF, HC 74.608/SP, Rel. Min. Celso de Mello; STJ, AgRg no HC nº 903.992/SP, Rel. Min. Ribeiro Dantas, Quinta Turma, j. 30.4.2025; STJ, AgRg no REsp nº 1.933.837/SP, Rel. Min. Antonio Saldanha Palheiro, Sexta Turma, j. 14.4.2025."
1500364-23.2024.8.26.0626,20818513,Apelação Criminal,Tráfico de Drogas e Condutas Afins,Fernando Simão,Caraguatatuba,7ª Câmara de Direito Criminal,7,07/08/2026,07/08/2026,fechado,6.75,True,True,True,414,"DIREITO PENAL. APELAÇÃO. TRÁFICO DE DROGAS EM ESTABELECIMENTO PRISIONAL. CONDENAÇÃO MANTIDA. RECURSO DESPROVIDO.
I. Caso em Exame
Apelação interposta por réu condenado por tráfico de drogas, à pena de 6 anos, 9 meses e 20 dias de reclusão, em regime inicial fechado, e pagamento de dias-multa. Absolvido do crime de associação para o tráfico. Corréus igualmente absolvidos. Defesa busca absolvição por insuficiência probatória ou desclassificação para uso pessoal, além de redução da pena e abrandamento do regime.

II. Questão em Discussão 
2. Questões em discussão: (i) saber se há prova suficiente para a condenação; (ii) saber se é cabível a desclassificação para o delito de uso de drogas; (iii) saber se a dosimetria da pena comporta revisão; e (iv) saber se é possível a fixação de regime prisional mais brando.
III. Razões de Decidir 
3. Materialidade e autoria comprovadas por autos de apreensão, laudos periciais e prova oral firme e coerente. Réu flagrado com 90 porções de maconha, fracionadas e acondicionadas para distribuição em ambiente prisional. 
4. Depoimentos dos agentes penitenciários considerados idôneos e harmônicos com o conjunto probatório. Ausência de indícios de má-fé ou perseguição.
5. Inviável a tese de uso pessoal. Circunstâncias da apreensão evidenciam destinação mercantil do entorpecente. Quantidade, forma de acondicionamento e local afastam o art. 28 da Lei de Drogas. 
6. Correta aplicação da causa de aumento do art. 40, III, da Lei 11.343/06, em razão da prática do delito em estabelecimento prisional. 
7. Dosimetria adequada. Pena-base majorada por maus antecedentes. Compensação entre reincidência e confissão espontânea mantida. Inexistência de bis in idem. 
8. Inaplicável a causa de diminuição do art. 33, §4º, da Lei de Drogas, diante da reincidência e dos maus antecedentes. 
9. Regime inicial fechado mantido, em razão da gravidade concreta, reincidência e circunstâncias do crime. Inviável a substituição da pena por restritiva de direitos.

IV. Dispositivo e Tese 
10. Recurso desprovido.

Tese de julgamento: 1. A apreensão de drogas fracionadas, com indícios de distribuição, caracteriza tráfico, ainda que o agente alegue uso próprio. 2. Depoimentos de agentes públicos, quando coerentes e sem mácula, possuem valor probatório relevante. 3. A reincidência e os maus antecedentes afastam o tráfico privilegiado. 4. A prática do crime em estabelecimento prisional justifica a incidência de majorante e regime inicial fechado.

Dispositivos citados: Lei 11.343/06, arts. 33, caput e §4º, e 40, III; CPP, art. 386, VII; CP, art. 44. 

Jurisprudência citada: STF, HC 74.608/SP, Rel. Min. Celso de Mello; TJSP, RJTJSP 101/498; TJSP, Apelação Criminal nº 212.768-3, Rel. David Haddad."
1500288-80.2026.8.26.0544,20818512,Apelação Criminal,Roubo Majorado,Fernando Simão,Francisco Morato,7ª Câmara de Direito Criminal,7,07/08/2026,07/08/2026,fechado,12.5,True,False,False,577,"DIREITO PENAL. APELAÇÃO. EXTORSÃO. RECURSO PARCIALMENTE PROVIDO.

I. Caso em Exame:

1. O réu Edson Sousa Santos foi condenado, como incurso no art. 158, caput, c.c. o art. 61, inciso II, alínea ""h"", na forma do art. 71, todos do Código Penal, à pena de 12 anos e 06 meses de reclusão, em regime inicial fechado, e pagamento de 282 dias-multa, no mínimo legal. Além disso, foi condenado a pagar o valor mínimo de R$ 6.800,00 de indenização em favor da vítima, nos termos do art. 387, inciso IV, do Código de Processo Penal. Apela, pleiteando a absolvição por insuficiência probatória e, subsidiariamente, o redimensionamento da pena, com a alteração do critério utilizado para aumento da pena base, com a adoção do padrão tradicional de 1/6 sobre a pena mínima para cada circunstância judicial negativa, afastamento da valoração negativa da culpabilidade e das consequências do crime, bem como da agravante referente à idade da vítima e afastamento ou redução da fração aplicada pela continuidade delitiva.

II. Questão em Discussão:

2. A questão em discussão consiste em: (i) insuficiência probatória para condenação; (ii) redimensionamento da pena com alteração do critério de aumento da pena base; (iii) afastamento da valoração negativa da culpabilidade e das consequências do crime; (iv) afastamento da agravante referente à idade da vítima; e (v) afastamento ou redução da fração aplicada pela continuidade delitiva.

III. Razões de Decidir:

3. Autoria e materialidade do crime de extorsão bem comprovadas. Palavras da vítima e dos policiais merecedoras de credibilidade.
4. A continuidade delitiva foi bem reconhecida, porquanto os crimes ocorreram nas mesmas condições de tempo, lugar e modo de execução. A fração de aumento pela continuidade delitiva foi adequada, considerando o número de delitos.
5. Pena ajustada. Pena base corretamente exasperada pelos maus antecedentes, culpabilidade acentuada e pelas consequências do crime, contudo, com alteração do critério de exasperação. Aumento que deve incidir sobre o patamar mínimo abstratamente cominado e não no intervalo entre ele e o máximo legal. Atendimento aos parâmetros da razoabilidade e da proporcionalidade. Na segunda fase, acertadamente reconhecidas as agravantes da reincidência e aquela prevista no art. 61, inciso II, alínea ""h"", do CP, pois a vítima era maior de 60 anos à época dos fatos. Continuidade delitiva escorreita, com aumento em fração adequada, dada a quantidade de delitos praticados. Regime fechado estabelecido com critério, haja vista a gravidade concreta dos crimes, bem como os maus antecedentes e a reincidência ostentados pelo réu, a revelarem a insistência na criminalidade.

IV. Dispositivo e Tese:

6. Recurso parcialmente provido. Pena ajustada para 11 anos de reclusão e pagamento de 25 dias-multa.
Tese de julgamento: 1. Provas francamente incriminadoras. 2. Crimes praticados em continuidade delitiva, vez que cometidos nas mesmas condições de tempo, lugar e modo de execução, com aplicação da fração de aumento adequada, considerando o número de delitos. 3. Alteração do critério de exasperação da pena base. Aumento que deve incidir sobre o patamar mínimo abstratamente cominado e não no intervalo entre ele e o máximo legal. Atendimento aos parâmetros da razoabilidade e da proporcionalidade.

Legislação Citada:

Código Penal, art. 158, caput; art. 61, inciso II, alínea ""h""; art. 71.
Código de Processo Penal, art. 387, inciso IV; art. 312.

Jurisprudência Citada:

TJSP, Ap. nº 139.718-3, Rel. Des. Celso Limongi, j. em 03.03.94.
TJSP, Ap. nº 110.070-3, Rel. Dês. Denser de Sá, j. 09.09.91.
TJSP, AC 990080935682/SP, 12ª Câm. Criminal, Rel: Des. Paulo Rossi, j. em 09.09.2009.
STF, HC 74.608-0/SP, Rel. Min. Celso de Mello."
1529002-62.2025.8.26.0228,20818511,Apelação Criminal,Tráfico de Drogas e Condutas Afins,Fernando Simão,São Paulo,7ª Câmara de Direito Criminal,7,07/08/2026,07/08/2026,fechado,6.75,True,True,True,553,"DIREITO PENAL. APELAÇÃO. TRÁFICO DE DROGAS. RECURSO DESPROVIDO.

Caso em Exame:

1. Réu condenado, como incurso no art. 33, caput, da Lei n. 11.343/06, à pena de 06 anos, 09 meses e 20 dias de reclusão, em regime inicial fechado, e pagamento de 680 dias-multa, no mínimo legal. Apela, arguindo, preliminarmente, a existência de nulidade processual, por não ter sido advertido sobre o direito ao silêncio. No mérito, busca a desclassificação para a figura do art. 28 da Lei n. 11.343/06 e, subsidiariamente, a redução da pena ao mínimo legal, com o reconhecimento da atenuante da confissão espontânea, a aplicação do redutor em sua fração máxima e a fixação do regime inicial aberto.

Questão em Discussão:

2. A questão em discussão consiste em saber se (i) há nulidade processual, por não ter sido o réu advertido sobre o direito ao silêncio; (ii) a possibilidade de desclassificação para a figura do art. 28 da Lei n. 11.343/06; (iii) a possibilidade de reconhecimento da atenuante da confissão espontânea, da aplicação do redutor em seu patamar máximo e de abrandamento do regime prisional.

III. Razões de Decidir:

Preliminar
3. Desnecessidade de advertência quanto ao direito constitucional ao silêncio quando da entrevista informal conduzida pelos policiais militares. Formalidade exigível apenas quando da realização do interrogatório. Ato privativo da autoridade policial e judicial, em cada fase da persecução penal. Ademais, a confissão informal não foi o único elemento de prova utilizado para a condenação, sendo corroborada por outros elementos probatórios, como depoimentos de policiais e laudos periciais. Preliminar afastada.
Mérito
4. Provas francamente incriminadoras. Depoimento dos policiais merecedores de credibilidade. Crime de perigo abstrato, não se exigindo que o infrator seja flagrado no próprio ato de venda da mercadoria proibida.
5. Pena aplicada com critério. Pena base corretamente exasperada pelos maus antecedentes do réu. Na segunda fase, reconhecida a agravante da reincidência. Impossibilidade de reconhecimento da atenuante da confissão espontânea, considerando que apenas tem natureza de confissão aquela realizada perante uma autoridade, seja a autoridade policial, seja o Juiz, não se podendo atenuar a sanção em caso de confissão informal. Descabimento do redutor legal por expressa vedação legal. Inviabilidade da substituição da pena privativa de liberdade por restritiva de direitos. Crime nefasto, sendo preciso maior reprovabilidade àquele que envereda para a prática de tal conduta ilícita, de modo a prevalecer o parâmetro da suficiência e proporcionalidade na fixação da pena. Necessidade de imposição de tratamento mais rigoroso ao traficante. Regime prisional fixado com critério. Crime equiparado a hediondo, o que ensejaria a aplicação, inicialmente, do regime mais gravoso.

IV. Dispositivo e Tese:

6. Recurso desprovido.
Tese de julgamento: 1. Desnecessidade de advertência quanto ao direito constitucional ao silêncio quando da entrevista informal conduzida pelos policiais militares. Formalidade exigível apenas quando da realização do interrogatório. Ato privativo da autoridade policial e judicial, em cada fase da persecução penal. Ademais, a confissão extrajudicial não foi o único elemento de prova utilizado para a condenação, sendo corroborada por outros elementos probatórios, como depoimentos de policiais e laudos periciais. 2. Provas francamente incriminadoras. 3. Pena e regime prisional fixados com critério.

Legislação Citada:

CPP, art. 563; Lei nº 11.343/2006, arts. 28 e 33.

Jurisprudência Citada:

STJ, HC 535.063/SP, Rel. Min. Sebastião Reis Junior, Terceira Seção, julgado em 10/6/2020; STF, AgRg no HC 180.365, Rel. Min. Rosa Weber, Primeira Turma, julgado em 27/3/2020."
