processo,cd_acordao,classe,assunto,relator,comarca,orgao_julgador,camara,secao,data_julgamento,data_publicacao,valor_indenizacao,tem_dano_moral,houve_majoracao,n_palavras_ementa,ementa
1000988-83.2024.8.26.0609,20817088,Apelação Cível,Tratamento médico-hospitalar,Márcio Boscaro,Taboão da Serra,10ª Câmara de Direito Privado,10,Direito Privado,07/08/2026,07/08/2026,10000.0,True,False,152,"APELAÇÕES CÍVEIS. PLANO DE SAÚDE . OBRIGAÇÃO DE FAZER, CUMULADA COM INDENIZAÇÃO POR DANOS MORAIS. NEGATIVA DE COBERTURA DE PROCEDIMENTO CIRÚRGICO E MATERIAIS PRESCRITOS. PROCEDÊNCIA. Preliminares de nulidade da sentença e cerceamento de defesa afastadas. ADI nº 7.265 do STF que não impõe consulta obrigatória ao NAT-Jus, ou produção de prova pericial em toda demanda envolvendo procedimento extra rol. Conjunto probatório suficiente para o julgamento antecipado. Negativa abusiva diante da urgência do quadro clínico e da expressa indicação médica. Dano moral configurado pelas circunstâncias concretas do caso e não apenas in re ipsa. Indenização mantida em R$ 10.000,00 por atender aos princípios da razoabilidade e proporcionalidade. Honorários sucumbenciais que devem incidir sobre o efetivo proveito econômico obtido, abrangendo o valor da obrigação de fazer, a ser apurado em liquidação, somado ao valor atualizado da condenação por danos morais. Sentença reformada nesse ponto. RECURSO DA RÉ DESPROVIDO E RECURSO DA AUTORA PARCIALMENTE PROVIDO."
1095916-64.2025.8.26.0100,20817704,Apelação Cível,Tratamento médico-hospitalar,Vito Guglielmi,São Paulo,6ª Câmara de Direito Privado,6,Direito Privado,05/08/2026,07/08/2026,,False,False,110,"SEGURO. PLANO DE SAÚDE . AÇÃO DE OBRIGAÇÃO DE FAZER. NEGATIVA DE COBERTURA . PEDIDO DE AUTORIZAÇÃO E CUSTEIO DE TRATAMENTO DE REABILITAÇÃO NEUROFUNCIONAL INTERDISCIPLINAR. JURISPRUDÊNCIA QUE VEM SE ORIENTANDO PELO RECONHECIMENTO DA ABUSIVIDADE DAS CLÁUSULAS DE EXCLUSÃO DE COBERTURA EM TAIS CASOS. COBERTURA, EM SI, QUE ERA MESMO DEVIDA. ATENDIMENTO QUE DEVE SE DAR NA REDE CREDENCIADA DA RÉ OU, SE FOR O CASO, MEDIANTE REEMBOLSO, NOS TERMOS DO CONTRATO. RÉ, ORA AGRAVANTE, DEVE INDICAR CLÍNICAS ESPECIALIZADAS NO TRATAMENTO PRESCRITO EM SUA REDE CREDENCIADA OU, NA AUSÊNCIA, DEVE CUSTEAR TRATAMENTO INTEGRAL EM CLÍNICA FORA DE SUA REDE. SENTENÇA REFORMADA EM PARTE. RECURSO DO AUTOR PROVIDO. RECURSO DA RÉ IMPROVIDO."
1018603-71.2023.8.26.0011,20817702,Apelação Cível,Tratamento Domiciliar (Home Care),Vito Guglielmi,São Paulo,6ª Câmara de Direito Privado,6,Direito Privado,05/08/2026,07/08/2026,,False,False,227,"SEGURO. PLANO DE SAÚDE . PRETENDIDA OBRIGAÇÃO DE CUSTEIO DE ATENDIMENTO 'HOME CARE'. DESCABIMENTO. EXISTÊNCIA, É CERTO, DE ENTENDIMENTO JURISPRUDENCIAL QUANTO À ABUSIVIDADE DE EVENTUAIS DISPOSIÇÕES CONTRATUAIS RESTRITIVAS. INTELIGÊNCIA, ADEMAIS, DA SÚMULA 90 DESTE TRIBUNAL. CONTRATO CELEBRADO PELAS PARTES QUE, A RIGOR, CONTEMPLA, EM ABSTRATO, A POSSIBILIDADE DE PRESTAÇÃO DE COBERTURA A TRATAMENTOS DOMICILIARES. PERÍCIA, TODAVIA, QUE CONCLUIU, NO CASO CONCRETO, PELA DESNECESSIDADE DE ENFERMAGEM CONTINUADA PARA SUPORTE COM ATIVIDADES DA VIDA DIÁRIA E DE FORNECIMENTO PELA RÉ DE INSUMOS DE HIGIENIZAÇÃO E MEDICAMENTOS DE USO NÃO HOSPITALAR, MAS APENAS DE TRATAMENTO COM 2 SESSÕES SEMANAIS DE FISIOTERAPIA MOTORA E RESPIRATÓRIA, 2 SESSÕES SEMANAIS DE FONOTERAPIA, 2 SESSÕES SEMANAIS DE TERAPIA OCUPACIONAL, VISITA MENSAL DE NUTRICIONISTA E CHEFIA DE ENFERMAGEM, NOS TERMOS DA PRESCRIÇÃO MÉDICA. LAUDO DE PROVA TÉCNICA QUE ASSINALOU, DE MANEIRA PEREMPTÓRIA, QUE A AUTORA PODE SER PERFEITAMENTE AMPARADO PELO MERO SUPORTE DE FAMILIAR OU CUIDADOR. ADEMAIS, PRETENDIDO FORNECIMENTO DE MEDICAMENTO E EXAMES NECESSÁRIOS RECLAMADO PELA AUTORA. COBERTURA NEGADA PELA REQUERIDA. JURISPRUDÊNCIA QUE VEM SE ORIENTANDO FIRMEMENTE NO SENTIDO DO RECONHECIMENTO DO CARÁTER ABUSIVO DAS CLÁUSULAS DE EXCLUSÃO. PRECEDENTES DO STJ E SÚMULA 102 DO TJSP, QUE REPUTA ABUSIVA A NEGATIVA FUNDADA NA NATUREZA SUPOSTAMENTE EXPERIMENTAL DO TRATAMENTO OU, BEM, NA AUSÊNCIA DE SUA PREVISÃO NO ROL DA ANS. RECUSA INDEVIDA EVIDENCIADA. CONDENAÇÃO DA REQUERIDA A FORNECER O TRATAMENTO À AUTORA. SENTENÇA MANTIDA. RECURSO IMPROVIDO."
1015738-12.2022.8.26.0011,20817400,Apelação Cível,Tratamento médico-hospitalar,Emerson Sumariva Júnior,São Paulo,5ª Câmara de Direito Privado,5,Direito Privado,07/08/2026,07/08/2026,10000.0,True,False,341,"DIREITO CIVIL. APELAÇÃO. OBRIGAÇÃO DE FAZER COM PEDIDO DE REPARAÇÃO DE DANOS MORAIS. PLANO DE SAÚDE . RECURSO NÃO PROVIDO.
I. CASO EM EXAME. Ação de obrigação de fazer com pedido de indenização por danos materiais e morais que visa ao custeio de internação psiquiátrica de emergência em hospital credenciado, bem como ao ressarcimento de valores pagos de forma particular em razão de recusa indevida de cobertura e reparação por danos morais. Sentença de parcial procedência.
II. QUESTÃO EM DISCUSSÃO. A questão em discussão consiste em verificar a abusividade da negativa de cobertura (internação psiquiátrica de emergência) sob a alegação de carência contratual, analisar o dever de ressarcimento integral de despesas médico-hospitalares pagas de forma particular em hospital credenciado por força da recusa indevida e avaliar a configuração e o valor da indenização por danos morais.
III. RAZÕES DE DECIDIR. Tratando-se de internação de emergência decorrente de tentativa de suicídio, com presença de risco imediato de morte atestado por perícia médica judicial, a operadora de plano de saúde está obrigada à cobertura do atendimento, limitando-se o prazo de carência ao máximo de 24 horas, nos termos do artigo 12, inciso V, alínea c, e artigo 35-C, inciso I, da Lei 9.656/1998. Abusividade da recusa configurada. Reembolso de despesas efetuadas em hospital credenciado devido. A recusa indevida de cobertura de tratamento de emergência em situação de grave quadro psíquico e risco de morte ultrapassa o mero inadimplemento contratual e gera dano moral in re ipsa. Valor indenizatório mantido em R$ 10.000,00, em observância aos princípios da razoabilidade e da proporcionalidade. 
IV. DISPOSITIVO E TESE. A operadora de plano de saúde é responsável pelo custeio de internação psiquiátrica de emergência, limitando-se o prazo de carência ao máximo de 24 horas. O reembolso de despesas médico-hospitalares em hospital credenciado deve ser integral se o pagamento particular foi imposto pela recusa indevida da operadora. A recusa indevida de cobertura em situação de emergência gera dano moral indenizável. Sentença de primeiro grau mantida pelos próprios fundamentos, nos termos do artigo 252 do RITJSP.
Recurso não provido."
1010469-84.2025.8.26.0011,20817615,Apelação Cível,Planos de saúde,Emerson Sumariva Júnior,São Paulo,5ª Câmara de Direito Privado,5,Direito Privado,07/08/2026,07/08/2026,10000.0,True,False,420,"APELAÇÃO CÍVEL. PLANO DE SAÚDE . NEGATIVA DE COBERTURA . INTERNAÇÃO EM UTI. URGÊNCIA E EMERGÊNCIA. INFLUENZA A (H1N1). COBERTURA PARCIAL TEMPORÁRIA (CPT). DOENÇA PREEXISTENTE. INAPLICABILIDADE. DANOS MORAIS CONFIGURADOS. RECURSO DA RÉ DESPROVIDO. RECURSO DOS AUTORES PROVIDO. 
I. CASO EM EXAME. Ação declaratória de inexistência de débito cumulada com indenização por danos morais movida pelo espólio do beneficiário e por sua viúva em face de operadora de plano de saúde , em razão de negativa de cobertura de internação de urgência em unidade de terapia intensiva (UTI) para tratamento de infecção respiratória aguda por Influenza A (H1N1). Sentença de parcial procedência que determinou o custeio das despesas hospitalares, mas afastou a condenação por danos morais. 
II. QUESTÃO EM DISCUSSÃO. A questão em discussão consiste em verificar (I) a legalidade da negativa de cobertura de internação hospitalar de urgência sob a justificativa de cumprimento de Cobertura Parcial Temporária (CPT) por doença preexistente (enfisema pulmonar); e (II) a configuração de danos morais decorrentes da recusa indevida de cobertura em situação de extrema gravidade clínica que culminou no óbito do paciente. 
III. RAZÕES DE DECIDIR. A recusa de cobertura de internação de urgência/emergência sob o pretexto de carência contratual ou Cobertura Parcial Temporária (CPT) é abusiva quando ultrapassado o prazo de 24 horas da contratação, nos termos do artigo 35-C, inciso I, e artigo 12, inciso V, alínea ""c"", da Lei nº 9.656/98. No caso concreto, o paciente foi internado em estado grave decorrente de infecção viral aguda por Influenza A (H1N1), patologia sem relação de causa e efeito com o enfisema pulmonar preexistente. Ausência de prova de que a internação decorreu exclusivamente da doença preexistente, ônus que incumbia à operadora de saúde. A recusa injustificada de cobertura de tratamento de urgência em momento de extrema vulnerabilidade clínica, que culminou no óbito do segurado, extrapola o mero inadimplemento contratual e enseja reparação por danos morais, diante do evidente sofrimento, angústia e aflição psicológica infligidos aos familiares. Indenização fixada em R$ 10.000,00, em observância aos princípios da razoabilidade e proporcionalidade. 
IV. DISPOSITIVO E TESE. 1. É abusiva a negativa de cobertura de internação hospitalar de urgência ou emergência após o prazo de carência de 24 horas da contratação do plano de saúde , sendo inaplicável a Cobertura Parcial Temporária (CPT) por doença preexistente quando a internação decorre de causa diversa e aguda. 2. A recusa indevida de cobertura de tratamento emergencial em situação de risco de vida gera dano moral indenizável. Sentença parcialmente reformada. 
Recurso da ré não provido e recurso dos autores provido."
1505983-73.2024.8.26.0127,20817621,Apelação Cível,Fornecimento de medicamentos,Emerson Sumariva Júnior,Carapicuíba,5ª Câmara de Direito Privado,5,Direito Privado,07/08/2026,07/08/2026,10000.0,True,False,389,"JUÍZO DE RETRATAÇÃO – APELAÇÃO – PLANO DE SAÚDE – FORNECIMENTO DE MEDICAMENTO USTEQUINUMABE (STELARA) PARA DOENÇA DE CROHN – DANOS MORAIS – TEMA 1.365 DO STJ – AFASTAMENTO. 
I. Caso em exame: Ação de obrigação de fazer cumulada com indenização por danos morais em razão de recusa de cobertura do medicamento Ustequinumabe (Stelara) para tratamento de Doença de Crohn. A sentença julgou os pedidos procedentes, condenando a operadora de saúde ao fornecimento do fármaco e ao pagamento de indenização por danos morais de R$ 10.000,00. O acórdão desta Câmara negou provimento ao recurso de apelação da ré, mantendo integralmente a sentença. 
II. Questão em discussão: A questão consiste em reapreciar a condenação da operadora de saúde ao pagamento de indenização por danos morais, em juízo de retratação, à luz da tese vinculante firmada pelo Superior Tribunal de Justiça no Tema 1.365, segundo a qual a recusa indevida de cobertura médico-assistencial não gera, por si só, dano moral presumido.
III. Razões de decidir: O STJ, no julgamento do Tema repetitivo 1.365, consolidou o entendimento de que a simples recusa indevida de cobertura por operadora de plano de saúde não configura dano moral in re ipsa, sendo imprescindível a demonstração de outros elementos que permitam constatar alteração anímica da vítima em grau suficiente para ultrapassar o mero aborrecimento. No caso concreto, a negativa de cobertura fundou-se em divergência técnica razoável quanto à interpretação do rol da ANS e das Diretrizes de Utilização, sem que tenha havido agravamento do quadro clínico da autora ou comprovação de sofrimento excepcional que ultrapassasse o mero dissabor inerente à discussão contratual. A tutela de urgência foi deferida prontamente e o tratamento foi garantido, não havendo nos autos prova de lesão concreta aos direitos da personalidade da beneficiária.
IV. Dispositivo e tese: Juízo de retratação exercido para dar parcial provimento ao recurso de apelação da ré, reformando em parte o acórdão anterior para afastar a condenação ao pagamento de indenização por danos morais, com redistribuição da sucumbência, mantendo-se os demais termos da sentença. Tese de julgamento: A simples recusa indevida de cobertura médico-assistencial por operadora de plano de saúde não gera, por si só, dano moral presumido, sendo imprescindível a presença de outros elementos que permitam constatar a alteração anímica da vítima em grau suficiente para ultrapassar o mero aborrecimento ou dissabor.
Juízo de retratação positivo."
1000087-71.2021.8.26.0108,20818168,Apelação Cível,Tratamento médico-hospitalar,Carlos Castilho Aguiar França,Cajamar,4ª Câmara de Direito Privado,4,Direito Privado,07/08/2026,07/08/2026,8712.9,False,False,260,"DIREITO CIVIL. APELAÇÃO. COBRANÇA. PEDIDO JULGADO PROCEDENTE. RECURSO NÃO PROVIDO.
I. Caso em Exame
Notre Dame Intermédica Saúde S/A. ajuizou ação de cobrança contra Benedito Sabino, alegando que a paciente Maria de Lourdes Paulo Vidal foi internada em hospital da autora, com despesas não cobertas pelo plano de saúde , resultando em atendimento particular. O réu assinou termo de responsabilidade pelo pagamento, mas não quitou a nota fiscal no valor de R$ 8.712,90, atualizado para R$ 12.611,81.
II. Questão em Discussão
2. A questão em discussão consiste em (i) nulidade da sentença por cerceamento de defesa e (ii) validade do termo de responsabilidade e suficiência da prova documental.
III. Razões de Decidir
3. A preliminar de nulidade da sentença por cerceamento de defesa foi rejeitada, pois a contestação foi intempestiva e não houve cerceamento de defesa por inércia processual.
4. No mérito, a prova documental e a presunção de veracidade pela revelia foram suficientes para comprovar a prestação do serviço e a responsabilidade do réu. A alegação de defeito da manifestação de vontade por estado de perigo não foi comprovada.
IV. Dispositivo e Tese
5. Recurso desprovido.
Tese de julgamento: 1. A intempestividade da contestação não configura cerceamento de defesa. 2. A presunção de veracidade pela revelia é suficiente para comprovar a responsabilidade do réu.
Legislação Citada:
Código de Processo Civil, arts. 335, 344, 345, 1.009, § 1º, 1.015, 85, § 11.
Código Civil, art. 178, II.
Código de Defesa do Consumidor, art. 51.
Jurisprudência Citada:
STJ, REsp n. 1.578.474/SP, Rel. Min. Nancy Andrighi, Terceira Turma, j. 11/12/2018, DJe 13/12/2018."
1024373-98.2025.8.26.0100,20817401,Apelação Cível,Fornecimento de medicamentos,Emerson Sumariva Júnior,São Paulo,5ª Câmara de Direito Privado,5,Direito Privado,07/08/2026,07/08/2026,,True,False,355,"APELAÇÃO. PLANO DE SAÚDE . OBRIGAÇÃO DE FAZER. FORNECIMENTO DE MEDICAMENTO. DUPILUMABE. ESOFAGITE EOSINOFÍLICA. RECUSA DE COBERTURA. RECURSO PROVIDO EM PARTE.
I. CASO EM EXAME. Recurso de apelação interposto pela autora contra a r. sentença que julgou improcedente a ação de obrigação de fazer cumulada com indenização por danos morais, revogando a tutela de urgência anteriormente concedida para o fornecimento do medicamento Dupilumabe (Dupixent) para o tratamento de esofagite eosinofílica (CID K20).
II. QUESTÃO EM DISCUSSÃO. As questões em discussão consistem na obrigatoriedade de cobertura do medicamento Dupilumabe para tratamento de esofagite eosinofílica diante de parecer desfavorável do NAT-JUS, no preenchimento dos requisitos cumulativos da ADI 7.265/DF pelo STF, e na caracterização de danos morais decorrentes da recusa de cobertura.
III. RAZÕES DE DECIDIR. A relação jurídica entre as partes é de consumo, aplicando-se as normas do Código de Defesa do Consumidor (Súmula 608 do STJ). É abusiva a recusa de cobertura de medicamento de alto custo registrado na Anvisa e expressamente prescrito por médico assistente para o tratamento de patologia coberta. A comprovação de refratariedade da autora a múltiplas terapias convencionais afasta a conclusão da nota técnica desfavorável do NAT-JUS. Todos os critérios cumulativos estabelecidos pelo STF na ADI 7.265/DF foram preenchidos, sendo devida a cobertura excepcional. Contudo, a recusa de cobertura fundada em divergência técnica amparada em parecer do NAT-JUS e em dúvida interpretativa razoável não gera dano moral presumido, ausente comprovação de sofrimento extraordinário que supere o mero aborrecimento contratual.
IV. DISPOSITIVO E TESE. Preenchidos os requisitos cumulativos fixados pelo STF na ADI 7.265/DF e comprovada a refratariedade às terapias usuais, é devida a cobertura de medicamento prescrito por profissional assistente para tratamento de doença coberta. A simples recusa indevida de cobertura médico-assistencial por operadora de plano de saúde não gera, por si só, dano moral presumido (in re ipsa), sendo imprescindível a presença de outros elementos que permitam constatar a alteração anímica da vítima em grau suficiente para ultrapassar o mero aborrecimento ou dissabor (Tema 1365/STJ). Sentença reformada para julgar parcialmente procedente a ação, confirmando a obrigação de fazer e afastando o pedido de indenização por danos morais.
Recurso parcialmente provido."
1027237-70.2024.8.26.0577,20816742,Apelação Cível,Tratamento Domiciliar (Home Care),Carlos Castilho Aguiar França,São José dos Campos,4ª Câmara de Direito Privado,4,Direito Privado,07/08/2026,07/08/2026,,False,False,226,"Direito Civil. Apelação. Plano de Saúde . Obrigação de Fazer. Negado Provimento.
I. Caso em Exame
1. L. W. S. R., menor impúbere, representado por sua genitora, busca condenação da Unimed São José dos Campos ao custeio integral de tratamento domiciliar em regime de home care devido à Atrofia Muscular Espinhal tipo 1, com necessidade de assistência contínua e fornecimento de equipamentos de suporte à vida.
II. Questão em Discussão
2. A questão em discussão consiste em (i) a adequação do valor atribuído à causa e (ii) a possibilidade de recusa do custeio de tratamento domiciliar prescrito com urgência, sob alegação de carência contratual e ausência de cobertura.
III. Razões de Decidir
3. O valor da causa está conforme o art. 292, § 2º, do CPC, não havendo indicação de valor alternativo pela apelante.
4. A Lei nº 9.656/1998 prevê carência de 24 horas para urgências, aplicável ao caso, conforme laudo pericial e prescrição médica.
IV. Dispositivo e Tese
5. Recurso desprovido.
Tese de julgamento: 1. A cláusula de exclusão de home care é abusiva quando há indicação médica expressa. 2. O custeio de insumos e equipamentos indispensáveis ao tratamento domiciliar é obrigatório.
Jurisprudência Citada:
AgInt no REsp n. 1.911.756/SC, rel. Min. Raul Araújo, Quarta Turma, j. 09.10.2023, DJe 16.10.2023.
ProAfR no REsp n. 2.190.339/RN, rel. Min. Antonio Carlos Ferreira, Segunda Seção, j. 25.02.2025, DJEN 10.03.2025."
1001022-28.2025.8.26.0543,20817308,Apelação Cível,Tratamento médico-hospitalar,Thomaz Carvalhaes Ferreira,Santa Isabel,Núcleo 4.0-T. VIII (DP1),,,07/08/2026,07/08/2026,9000.0,False,True,446,"APELAÇÕES. PLANO DE SAÚDE . OBRIGAÇÃO DE FAZER. CUSTEIO DE PROCEDIMENTOS CIRÚRGICOS NEGADOS POR JUNTA MÉDICA. CERCEAMENTO DE DEFESA. JULGAMENTO ANTECIPADO DA LIDE. DIVERGÊNCIA TÉCNICA QUALIFICADA. NECESSIDADE DE PERÍCIA MÉDICA. SENTENÇA ANULADA. RECURSO DA RÉ PROVIDO. PREJUDICADO O RECURSO DO AUTOR.
I. CASO EM EXAME.
Trata-se de apelação interposta pela operadora de plano de saúde contra sentença que julgou parcialmente procedente o pedido inicial, condenando-a ao reembolso de R$ 9.000,00 por despesas com cirurgia de varizes realizada em âmbito particular e ao pagamento de indenização por danos morais de R$ 5.000,00. A controvérsia decorre da recusa parcial de cobertura de dois procedimentos cirúrgicos (fulguração de telangiectasias e restauração venosa com pontes), com amparo em parecer desfavorável de junta médica desempatadora. A operadora alegou cerceamento de defesa pelo julgamento antecipado sem a realização de perícia médica judicial. Recorreu o autor visando majoração indenizatória por danos morais.
II. QUESTÃO EM DISCUSSÃO.
Consiste em verificar se o julgamento antecipado da lide, com dispensa da prova pericial médica expressamente requerida pela operadora, configura cerceamento de defesa, diante da divergência técnica qualificada instaurada por junta médica regulamentar.
III. RAZÕES DE DECIDIR.
A ré instaurou regularmente o procedimento de junta médica, nos termos da Resolução Normativa nº 424/2017 da ANS, obtendo parecer técnico desfavorável da médica desempatadora independente quanto à indicação clínica dos procedimentos recusados. Diante de divergência técnica qualificada entre o médico assistente e a junta médica, a controvérsia sobre a real necessidade clínica dos procedimentos não pode ser dirimida por mera presunção jurídica ou interpretação contratual favorável ao consumidor. A produção de prova pericial médica judicial, sob o crivo do contraditório, era indispensável para o adequado esclarecimento dos fatos. O julgamento antecipado da lide, dispensando a prova técnica requerida, configurou cerceamento de defesa e acarreta a nulidade da sentença.


IV. DISPOSITIVO E TESE.
Recurso da ré provido para anular a sentença, determinando-se o retorno dos autos ao juízo de origem para a realização de perícia médica judicial, prejudicado o recurso do autor.
Tese de julgamento: Havendo divergência técnica qualificada sobre a indicação de procedimentos cirúrgicos, dirimida por junta médica regularmente constituída nos termos da RN nº 424/2017 da ANS, o julgamento antecipado da lide sem a realização de perícia médica judicial expressamente requerida configura cerceamento de defesa, ensejando a nulidade da sentença.
Legislação Citada:
CF/1988, art. 5º, LV; CPC, arts. 355, I, 370 e 373, II; RN ANS nº 424/2017.
Jurisprudência Citada:
STJ, Súmula nº 608;
TJSP, Apelação Cível 1010859-11.2023.8.26.0048, Rel. Enéas Costa Garcia, 1ª Câmara de Direito Privado, j. 27/03/2025; TJSP, Apelação Cível 1016556-80.2025.8.26.0100, Rel. Alexandre Marcondes, 1ª Câmara de Direito Privado, j. 19/02/2026;
TJSP, Apelação Cível 1022361-45.2024.8.26.0004, Rel. Enéas Costa Garcia, 1ª Câmara de Direito Privado, j. 20/02/2026."
