numero_processo,tribunal,grau,classe,classe_codigo,assunto,n_assuntos,orgao_julgador,municipio_ibge,sistema,formato,nivel_sigilo,data_ajuizamento,data_ultima_atualizacao
00000999020238260445,TJSP,G1,Cumprimento de sentença,156,Planos de Saúde,1,01 CIVEL DE PINDAMONHANGABA,3538006.0,SAJ,Eletrônico,0,2023-01-02,2024-05-08
00001957020238260004,TJSP,G1,Cumprimento Provisório de Sentença,157,Tratamento médico-hospitalar,1,03 CIVEL DE LAPA,3550308.0,SAJ,Eletrônico,0,2023-01-03,2023-06-10
22928274620228260000,TJSP,G2,Agravo Interno Cível,1208,Tratamento médico-hospitalar,1,1ª CÂMARA DE DIREITO PRIVADO,3550308.0,SAJ,Eletrônico,0,2023-01-03,2023-07-27
10000114120238260540,TJSP,G1,Mandado de Segurança Cível,120,Serviços Hospitalares,2,01 CIVEL DE SAO CAETANO DO SUL,3548807.0,SAJ,Eletrônico,0,2023-01-05,2023-07-19
10000301520238260292,TJSP,G1,Mandado de Segurança Cível,120,Tratamento médico-hospitalar,1,FAZENDA PUBLICA DE JACAREI,3524402.0,SAJ,Eletrônico,0,2023-01-05,2023-11-23
00001702320238260565,TJSP,G1,Cumprimento de sentença,156,Planos de Saúde,1,04 CIVEL DE SAO CAETANO DO SUL,,SAJ,Eletrônico,0,2023-01-05,2024-08-26
00001235820238260659,TJSP,JE,Cumprimento de sentença,156,Tratamento médico-hospitalar,1,VARA JUIZADO ESP. CIVEL CRIM. DE VINHEDO,,SAJ,Eletrônico,0,2023-01-09,2024-07-31
00001953920238260564,TJSP,G1,Cumprimento Provisório de Decisão,10980,Tratamento médico-hospitalar,1,05 CIVEL DE SAO BERNARDO DO CAMPO,,SAJ,Eletrônico,0,2023-01-10,2024-08-26
00006036420238260100,TJSP,G1,Cumprimento de sentença,156,Planos de Saúde,1,06 CIVEL DE CENTRAL,,SAJ,Eletrônico,0,2023-01-10,2024-07-20
00001312120238260405,TJSP,G1,Cumprimento de sentença,156,Planos de Saúde,1,07 CIVEL DE OSASCO,,SAJ,Eletrônico,0,2023-01-10,2024-11-12
00001367020238260008,TJSP,G1,Cumprimento de sentença,156,Fornecimento de medicamentos,1,02 CIVEL DE TATUAPE,,SAJ,Eletrônico,0,2023-01-10,2024-07-19
00000352820238260624,TJSP,G1,Procedimento do Juizado Especial da Fazenda Pública,14695,Fornecimento de medicamentos,1,VARA JUIZADO ESP. CIVEL CRIM. DE TATUI,3554003.0,SAJ,Eletrônico,0,2023-01-10,2023-11-23
00001384020238260008,TJSP,G1,Cumprimento de sentença,156,Tratamento médico-hospitalar,1,02 CIVEL DE TATUAPE,,SAJ,Eletrônico,0,2023-01-11,2024-07-19
10832882420178260100,TJSP,G2,Embargos de Declaração Cível,1689,Planos de Saúde,1,1ª CÂMARA DE DIREITO PRIVADO,3550308.0,SAJ,Eletrônico,0,2023-01-11,2023-07-27
10001589220238260079,TJSP,G1,Procedimento do Juizado Especial da Fazenda Pública,14695,Fornecimento de medicamentos,1,VARA JUIZADO ESP. CIVEL CRIM. DE BOTUCATU,3507506.0,SAJ,Eletrônico,0,2023-01-11,2024-02-28
10649968320208260100,TJSP,G2,Apelação Cível,198,Tratamento médico-hospitalar,1,6ª CÂMARA DE DIREITO PRIVADO,,Inválido,Eletrônico,0,2023-01-11,2024-08-30
00006421920238260114,TJSP,G1,Cumprimento de sentença,156,Planos de Saúde,1,02 CIVEL DE CAMPINAS,,SAJ,Eletrônico,0,2023-01-11,2024-07-19
00001590720238260011,TJSP,G1,Cumprimento de sentença,156,Tratamento médico-hospitalar,1,02 CIVEL DE PINHEIROS,,SAJ,Eletrônico,0,2023-01-11,2024-07-19
00000966920238260079,TJSP,G1,Procedimento do Juizado Especial da Fazenda Pública,14695,Fornecimento de medicamentos,1,VARA JUIZADO ESP. CIVEL CRIM. DE BOTUCATU,3507506.0,SAJ,Eletrônico,0,2023-01-11,2024-02-28
00004488020238260223,TJSP,G1,Cumprimento de sentença,156,Planos de Saúde,1,02 CIVEL DE GUARUJA,,SAJ,Eletrônico,0,2023-01-12,2024-07-20
22916236420228260000,TJSP,G2,Agravo Interno Cível,1208,Tratamento médico-hospitalar,1,10ª CÂMARA DE DIREITO PRIVADO,,SAJ,Eletrônico,0,2023-01-12,2024-07-19
00005610920238260005,TJSP,G1,Cumprimento de sentença,156,Tratamento médico-hospitalar,1,02 CIVEL DE SAO MIGUEL PAULISTA,,SAJ,Eletrônico,0,2023-01-13,2024-07-19
00002266920238260011,TJSP,G1,Cumprimento de sentença,156,Planos de Saúde,1,02 CIVEL DE PINHEIROS,,SAJ,Eletrônico,0,2023-01-16,2024-07-19
00001977520238260348,TJSP,G1,Cumprimento de sentença,156,Tratamento médico-hospitalar,1,04 CIVEL DE MAUA,,SAJ,Eletrônico,0,2023-01-16,2024-07-20
00001877220238260011,TJSP,G1,Cumprimento de sentença,156,Planos de Saúde,1,05 CIVEL DE PINHEIROS,,SAJ,Eletrônico,0,2023-01-16,2025-08-05
00001747120238260529,TJSP,G1,Cumprimento de sentença,156,Assistência Médico-Hospitalar,1,JUIZADO ESPECIAL CIVEL CRIM. DE SANTANA DE PARNAIBA,3547304.0,SAJ,Eletrônico,0,2023-01-16,2023-05-31
00006426420238260196,TJSP,G1,Cumprimento de sentença,156,Planos de Saúde,1,05 CIVEL DE FRANCA,,SAJ,Eletrônico,0,2023-01-16,2024-07-20
00000817220238260541,TJSP,G1,Procedimento do Juizado Especial da Fazenda Pública,14695,Fornecimento de medicamentos,1,JUIZADO ESPECIAL CIVEL DE SANTA FE DO SUL,3546603.0,SAJ,Eletrônico,0,2023-01-16,2024-02-28
00008140920238260001,TJSP,G1,Cumprimento de sentença,156,Tratamento médico-hospitalar,1,07 CIVEL DE SANTANA,3550308.0,SAJ,Eletrônico,0,2023-01-16,2023-07-20
00000279520238260480,TJSP,G1,Cumprimento de Sentença contra a Fazenda Pública,12078,Assistência Médico-Hospitalar,1,JUIZADO ESPECIAL CIVEL CRIM. DE PRESIDENTE BERNARDES,,SAJ,Eletrônico,0,2023-01-17,2024-07-19
00002806920238260032,TJSP,G1,Cumprimento de sentença,156,Fornecimento de medicamentos,1,FAZENDA PUBLICA DE ARACATUBA,,SAJ,Eletrônico,0,2023-01-17,2024-07-19
00005123720238260564,TJSP,G1,Cumprimento de sentença,156,Planos de Saúde,1,02 CIVEL DE SAO BERNARDO DO CAMPO,,SAJ,Eletrônico,0,2023-01-17,2024-08-26
00033438220238260071,TJSP,G1,Cumprimento de sentença,156,Tratamento médico-hospitalar,1,06 CIVEL DE BAURU,3506003.0,SAJ,Eletrônico,0,2023-01-17,2024-02-28
10234420320228260100,TJSP,G2,Apelação Cível,198,Tratamento médico-hospitalar,1,6ª CÂMARA DE DIREITO PRIVADO,,Inválido,Eletrônico,0,2023-01-17,2024-08-30
10003225720238260079,TJSP,G1,Procedimento do Juizado Especial da Fazenda Pública,14695,Assistência Médico-Hospitalar,1,VARA JUIZADO ESP. CIVEL CRIM. DE BOTUCATU,3507506.0,SAJ,Eletrônico,0,2023-01-18,2024-02-28
00003107920238260590,TJSP,G1,Cumprimento Provisório de Sentença,157,Tratamento médico-hospitalar,1,04 CIVEL DE SAO VICENTE,,SAJ,Eletrônico,0,2023-01-18,2024-08-26
00020473520238260100,TJSP,G1,Cumprimento de sentença,156,Planos de Saúde,1,23 CIVEL DE CENTRAL,,SAJ,Eletrônico,0,2023-01-18,2024-07-20
10003219720238260297,TJSP,G1,Procedimento do Juizado Especial da Fazenda Pública,14695,Fornecimento de medicamentos,1,VARA JUIZADO ESP. CIVEL CRIM. DE JALES,3524808.0,SAJ,Eletrônico,0,2023-01-19,2024-02-28
00017541420238260602,TJSP,G1,Cumprimento de sentença,156,Planos de Saúde,1,07 CIVEL DE SOROCABA,,SAJ,Eletrônico,0,2023-01-19,2024-08-28
00001996620238260438,TJSP,G1,Procedimento do Juizado Especial da Fazenda Pública,14695,Fornecimento de medicamentos,1,VARA JUIZADO ESP. CIVEL CRIM. DE PENAPOLIS,3537305.0,SAJ,Eletrônico,0,2023-01-19,2023-03-06
00005775620238260071,TJSP,G1,Cumprimento de sentença,156,Tratamento médico-hospitalar,1,05 CIVEL DE BAURU,,Inválido,Eletrônico,0,2023-01-19,2024-08-30
00001727620238260408,TJSP,G1,Cumprimento Provisório de Sentença,157,Fornecimento de medicamentos,1,VARA JUIZADO ESPECIAL CIVEL DE OURINHOS,3534708.0,SAJ,Eletrônico,0,2023-01-19,2024-02-28
00003780720238260565,TJSP,G1,Cumprimento de sentença,156,Tratamento médico-hospitalar,1,03 CIVEL DE SAO CAETANO DO SUL,,SAJ,Eletrônico,0,2023-01-19,2024-08-26
00005951420238260577,TJSP,G1,Cumprimento de sentença,156,Planos de Saúde,1,06 CIVEL DE SAO JOSE DOS CAMPOS,,SAJ,Eletrônico,0,2023-01-19,2024-08-26
00007374620238260309,TJSP,G1,Cumprimento de sentença,156,Planos de Saúde,1,04 CIVEL DE JUNDIAI,,SAJ,Eletrônico,0,2023-01-20,2024-08-25
00027757920238260002,TJSP,G1,Cumprimento Provisório de Sentença,157,Tratamento médico-hospitalar,1,02 CIVEL DE SANTO AMARO,3550308.0,SAJ,Eletrônico,0,2023-01-20,2023-07-19
